tweet_no	text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
29	Международния център @NizamiGanjaviIC 🇦🇿 помага на #България в борбата с #COVID19 . @PresidentOfBg @MFABulgaria @NarodnoSabranie @MoEBulgaria https://t.co/1YuyBHfrYs https://t.co/gKKPhEjPDe	yes	no	yes	no	no	no	yes
30	Обществеността превъзхожда числено полицейската сила в такъв мащаб, че за да си върши полицията работата, тя го прави разчитайки на съгласието на обществото. В момента наблюдаваме как това съгласие бива оттеглено. https://t.co/v466A1uC84	no	nan	nan	nan	nan	no	no
31	Вече започнахме: на живо първият от специалните онлайн уебинари на https://t.co/q8sdnz7A5f. Говорим си за предизвикателствата и новите измерения на свободата, свързани с COVID 19 започва. Гледайте го тук: https://t.co/0PG2XUsltn #movebg #editbg https://t.co/3n7Oc6dpqU	no	nan	nan	nan	nan	no	no
32	Коронавирусът е особена програма, заредила се в общия компютър, наречен човечество и е започнала да работи в него. Тази програма иска от нас по-голямо взаимно включване. Ако го постигнем, то ще се справим с вируса. А дотогава ние се учим само от страданията. М. Лайтман #covid19	no	nan	nan	nan	nan	no	no
33	Проверeте статистикaта: там където хората са по-близки, усещат общия #социум, там загубите от #coronavirus са много по-малки. Колкото повече #обществото е разделено, толкова повече са жертвите от #короновируса. Михаел Лайтман #StayAtHome	no	nan	nan	nan	nan	no	no
34	Озадачена от извадката от разпореждането на партиарха, реших да потърся цялото писмо. Което всъщност звучи много практично и разумно и освен за молитви говори за конкретни мерки в храмовете. Не ставайте папагали! https://t.co/LtnwM9BDPj	no	nan	nan	nan	nan	no	no
35	Полицията в Мадрид забранява ловенето на покемони по време на извънредното положение. https://t.co/FoZRyfjM61	no	nan	nan	nan	nan	no	no
36	Нова програма на ЕС цели да укрепи системите на здравеопазване в Европа и да ги подготви по-добре за бъдещи кризи като пандемията от COVID-19: https://t.co/YKDqBQNQOY #ЕвропаСрещуCOVID19 https://t.co/e2D0udgOpM	yes	no	yes	no	no	no	no
37	🔴🎥 Пресконференция за действията на ЕС в контекста на кризата с #coronavirus. За превод на български 🇧🇬👉https://t.co/0D9ssMmrlz https://t.co/m25VRSyP8t	no	nan	nan	nan	nan	no	no
38	Европейският фонд за най-нуждаещите се осигурява храна и материална помощ за тези, които имат най-голяма нужда от тях.🙌🇪🇺 Заради #coronavirus правилата на фонда бяха променени, за да позволят осигуряването на предпазни средства и лечение, вкл. за доброволци и социални работници. https://t.co/zvOVTDXvVI	yes	no	yes	no	no	no	no
39	#COVID19 преобърна живота ни наопаки, но има неща, които не се променят - желанието ни да сме заедно и да попълваме албума на спомените. Да пътуваме в Европа! Тя чака да бъде преоткрита. #GoEuropean @EPPGroup https://t.co/YbgDfodTes	no	nan	nan	nan	nan	no	no
40	COVID-19 и технологичните общности в България: https://t.co/XEIPo5sEHD #WomenWhoCodeSofia @googledevs #GDG #covid_19 #usergroups #ReactJS #Bulgaria #SofiaCryptoMeetup #Django #PHP #Flutter #Kotlin #ReactJS #Java #Python #community #tech https://t.co/ZErGu9tfsG	no	nan	nan	nan	nan	no	no
41	Видео-конференция на Бюрото на Европейския парламент - „Поуките за Европа след COVID-19; Как ЕС да бъде по-подготвен за бъдещи подобни предизвикателства“, в която участвах заедно с моите колеги Ангел Джамбазки и Петър Витанов. https://t.co/zJ7gI7NjgQ	no	nan	nan	nan	nan	no	no
42	туроператорите са предложили да се промени методологията за отчитане на случаите с Covid-19.. германският гражданин вярва на официалните данни от институциите и че докато се обявяват подобни данни, няма да има положителен резултат за туристическия сектор https://t.co/IUPqwuLEvL	yes	no	yes	no	no	no	no
43	Андерс Тегнел,гл епидемиолог на Швеция ,държавата ,която се протипопостави на мейнстрийма. Доказани професионализъм и отговорност! Сравнете го със смешниците Борисов и НОЩ! https://t.co/nD4r7yh6T1	no	nan	nan	nan	nan	yes	nan
44	Френският министър на здравеопазването предупреждава при симптоми на грип да не се приема ибупрофен, тъй като може да усложни заболяването. Казва при температура да се взима парацетамол. https://t.co/pJXnEx2DPW	yes	no	yes	no	yes	no	yes
45	90 нови случая на COVID-19 са потвърдени у нас за последните 24 часа https://t.co/eyh5r90RN8	yes	no	yes	no	no	no	no
46	Днес не исках да изляза на разходка. Днес исках просто да си кажа последно сбогом с баба, жената, която ме отгледа. Fuck you corona.	no	nan	nan	nan	nan	no	no
47	Изключително интересна виртуална среща с учениците от ПЕГ Екзарх Йосиф I - Ловеч на актуални теми: какво прави ЕС срещу #coronavirus, политиката на сближаване и киберсигурността и дезинформацията, #ErasmusPlus. Благодарности на @ECinBulgaria. #StrongerTogether #EUBacktoSchool https://t.co/pUnd6GCgPt	no	nan	nan	nan	nan	no	no
48	10 000 протестират в Берлин срещу мерките срещу COVID-19 https://t.co/yfoUu4CSls	yes	no	yes	nan	no	no	no
49	Осем нови случая на COVID-19 бяха доказани у нас https://t.co/s4i0stF5Ef	yes	no	yes	no	no	no	no
50	#COVID19 В този кризисен момент е важно да улесним въздушния превоз на товари в ЕС 📦 и да избегнем голям ръст в разходите. Ето препоръките на ЕК към държавите-членки, за да сме сигурни, че основните транспортни потоци няма да пострадат 🛬🛬🛬https://t.co/7yia7ORS4A https://t.co/ZwBnB0yPNz	no	nan	nan	nan	nan	no	no
51	Днес стартира платформата Creatives Unite – място за обмяна на опит и идеи между професионалисти от културния и творчески сектор в Европа. 🎭🎨🎬🎤🤹 Целта е намиране на общи решения за кризата в сектора, свързана с #coronavirus https://t.co/9QfZAaurbY	no	nan	nan	nan	nan	no	no
52	Лятната икономическа прогноза на ЕС #ECForecast ☀ показва по-силна от очакваната рецесия, предизвикана от кризата с #coronavirus. #NextGenerationEU и подсилен #EUBudget могат да дадат тласъка за бързо възстановяване. ➡ https://t.co/Qkg18kjN9Q https://t.co/VPLEmR1RI2	yes	no	yes	no	no	no	no
53	Съвместна декларация относно принципите на върховенството на закона в условията на #Covid19, подписана от Франция, Белгия, Германия, Гърция, Дания, Ирландия, Испания, Италия, Латвия, Люксембург, Нидерландия, Португалия, Финландия и Швеция: https://t.co/opG00b2rqV https://t.co/KewnUP4MmU	yes	no	yes	no	no	no	no
54	Подкрепих българските медици, работещи в условия на пандемия! Направете го и вие с текст SOLIDARNOST на номер 17 777 👩🏻‍⚕️👨🏼‍⚕️🇧🇬 #solidarity #COVID19 https://t.co/3XMltZRhMu	no	nan	nan	nan	nan	no	no
55	Броят на заразените с Covid-19 в последните дни показва, че българската клубна сцена е в подем.	no	nan	nan	nan	nan	no	no
56	Сигурно ви е писнало от чумата, но това е един от най-дълбоките и проницателни епизоди които сме правили с изключително проницателен събеседник https://t.co/t2jYqwitsO	no	nan	nan	nan	nan	no	no
57	Запознайте се с последните промени в ограниченията за достъп до Франция 👉https://t.co/PDPzSE1AEZ #Covid19 #коронавирус https://t.co/YnxrJJXq0t	no	nan	nan	nan	nan	no	no
58	Европейския икономически и социален комитет учредява специална „Награда за гражданска солидарност“ за проекти за борба срещу #COVID19 и последиците от него. @EU_EESC ще присъди до 29 награди, всяка в размер на €10 000: https://t.co/IRul47jHlU #CivilSolidarityPrize https://t.co/u8SGH19nqr	yes	no	yes	no	no	no	no
59	Официални кадри от пристигането на #coronavirus в България. 💀☠️ https://t.co/glt61Myido	no	nan	nan	nan	nan	no	no
60	Начи, преживяла съм: Чернобил - 86 г. Купонната с-ма - 90г. Краха на СССР - 91г. Голямата инфлация - 96г. BSE - 07г. Н5N1 - 07г. H1N1 - 09г. Фукушима - 11г. Ебола - 14г. И до тук - COVID-19 - 20г. И няколко края на света... Че аз направо съм си ветеран от Апокалипсиса, бе, хора!	no	nan	nan	nan	nan	no	no
61	10123 са общо потвърдените у нас случаи на COVID-19 според Националната информационна система https://t.co/XNCvgQVbVV	yes	no	yes	no	no	no	no
62	ЕС ще подкрепи кампанията на @who за глобален отгвор срещу #COVID19 с 114 млн. евро, за да помогне на по-неустойчивите здравни системи по света да се справят със заплахата. 🌍 15 млн. е финансирането досега за диагностика и наблюдение в Африка #solidarity https://t.co/Kfn3ksj5Nw	yes	no	yes	no	no	no	no
63	Чрез Инвестиционната инициатива в отговор на коронавируса, 750 милиона евро са мобилизирани в помощ на България за справяне с настоящата криза и ефектите ѝ: https://t.co/FWaFQ3Z1k2 #ЕвропаСрещуCOVID19 https://t.co/1GLkyr0fad	yes	no	yes	no	no	no	no
64	ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ ПАНДЕМИЯ https://t.co/WRNQUuVsWL	no	nan	nan	nan	nan	no	no
65	39 са вече излекуваните пациенти от COVID-19 в България https://t.co/0DRISBcJal	yes	no	yes	no	no	no	no
66	В нея са заложени предложенията на българския евродепутат Радан Кънев (ЕНП/ДБ), а именно: финансовият ресурс да е достъпен пряко за бизнеса и местните власти, както и да не се допуска финансиране на фирми с неясна или офшорна собственост, https://t.co/yFpV5RtrYM	no	nan	nan	nan	nan	no	no
67	Защитавайте себе си и останалите от коронавируса, като спазвате дистанция, когато говорите с други хора, пазарувате 🛒 или използвате обществен транспорт 🚌. #ЕвропаСрещуCOVID19 🇪🇺 https://t.co/qSf5hrmnU7	no	nan	nan	nan	nan	no	no
68	Днес Испания отдава почит на повече от 28 хил. души, които загубиха живота си вследствие на #COVID19. ЕС скърби с Испания и с всички европейци, чийто живот се преобърна заради болестта! 🇪🇸 🇪🇺 https://t.co/sTlwIEBA8Q	yes	no	yes	no	no	no	no
69	Зимна #ECForecast ❄: 📌 1.4% ръст на БВП за ЕС през 2020 и 2021 (от 1.5% през 2019) 📌 Инфлация от 1.5% за 2020 и 1.6% за 2021 Рискове ➡ Несигурност в глобалните търговски отношения, геополитически конфликти, неяснота в отношенията с 🇬🇧, #Coronavirus ➡ https://t.co/flhncqJMk0 https://t.co/uzpz272hgs	yes	no	yes	no	no	no	no
70	Бирата Corona хубу решили да стартират положителна рекламна кампания в тия КОВИД времена, ама що със слогана “На крачка от рая” 😳	no	nan	nan	nan	nan	no	no
71	Как да се пазим, къде да не пътуваме. Препоръките на институциите за COVID-19 https://t.co/23zqceFAOO	no	nan	nan	nan	nan	no	no
72	Чудесно обобщение на най-доброто, което можем да направим относно коронавируса като членове на обществото (hint: stay at home for 2-3 weeks and wash your hands). https://t.co/43G0c3JWrY	no	nan	nan	nan	nan	no	no
73	Говорителят на ЕП @jduch пред @vestnikstroitel за COVID-19 и последиците: "Няма по-добро решение от това да правим нещата заедно. Кризите се разпростират далеч извън границите и вече няма смисъл да се опитваме да ги решаваме поотделно." Прочетете интервюто:https://t.co/pV0PR4DNFe	no	nan	nan	nan	nan	no	no
74	От години Аделина помага на хора с трайни увреждания, които имат нужда от подкрепа. Отскоро нейна кауза е да погне и на хората, които искат да доброволстват - да знаят какво ги очаква и как да помагат ефикасно: https://t.co/PttNjvbFNQ #ЕвропаСрещуCOVID19	no	nan	nan	nan	nan	no	no
75	Covid19 постави САЩ на колене, каза д-р Редфийлд, директор на центровете за контрол и превенция на заболяванията. Страната ще похарчи 7трлн. USD за откриване на нови случаи на вируса. Чудя се, вместо това просто да започнем да живем по нов начин, оставяйки само необходимото. М.Л.	no	nan	nan	nan	nan	no	no
76	Отвратително. Всеки път, когато видя писъци колко страшни ни били ограниченията, наложени от щаба НИ - мъчител и диктатор, ще отговарям с този клип. Запазвам си го. Не разбирам как някои не разбират, че заради тях не стигнахме до положението им. Е, и заради бцж-то де. https://t.co/0ARISaDeEX	no	nan	nan	nan	nan	no	no
77	Когато казваме, че децата са бъдещето, не бива да забравяме да добавим, че те са личности със собствени права тук и сега. Наше задължение е да ги защитим. @dubravkasuica и @dreynders за децата и кризата с #coronavirus #childrenday https://t.co/ngmWVQn5wY	no	nan	nan	nan	nan	no	no
78	Бъдете свободни. Не живейте в страх. Нищо особено няма в тоя вирус! https://t.co/EcDorDvMqG	no	nan	nan	nan	nan	no	no
79	Главният държавен здравен инспектор изпрати до работодателските организации в страната допълнителни указания за предотвратяване разпространението на COVID-19 сред служители https://t.co/54MEJOszop	yes	no	yes	no	no	no	no
80	5⃣1⃣1⃣ млн. евро за България в рамките на схемата #SURE за запазване на работни места в условията на #coronavirus. 🇪🇺 🇧🇬 Подкрепата ще дойде под формата на заем на преференциални условия. Общата предвидена сума за всички държавие 100 млрд. евро. 👉 https://t.co/1piX0akCOw https://t.co/PWH5U5TgcH	yes	no	yes	no	no	no	no
81	8638 са общо потвърдените случаи на COVID-19 в България според Националната информационна система https://t.co/rNrxT6oha8	yes	no	yes	no	no	no	no
82	Здравният министър издаде заповеди във връзка с регистрираните случаи на COVID-19 на територията на България https://t.co/MfuYxSYM5H	yes	no	yes	no	no	no	no
83	@ir_irinissima Ще има и подарък-изненада: Сръбския естраден певец Ковид Пандемич ще пее най-новия си хит "Volim te Corona"	no	nan	nan	nan	nan	no	no
84	COVID-19 застрашава съществуването на българските иновативни стартъпи Почти 75% от стартъпите посочват среден или висок риск от фалит през следващите 6 месеца заради настоящата криза. Това показват данните от експресно проучване на BESCO. #movebg #editbg https://t.co/ASXqScS3K5	yes	no	yes	no	yes	no	no
85	Доклад на Асоциацията по роботика #PARA.experts за: 👉 новите бизнес модели, които компаниите приложиха в кризата 👉 допълнителните мерки, които взеха българските бизнеси 👉 българските технологични решения в борбата с #COVID19 https://t.co/sa1wZVRJLF #Robotics #Automation	no	nan	nan	nan	nan	no	no
86	1348 са случаите на COVID-19, потвърдени у нас https://t.co/ueUDmldXCB	yes	no	yes	no	no	no	no
87	@Tangerrinka @muiiio 1 час я четох, спрях по средата и се насилих да я дочета, ама е нужно. Червеното хапче е тази статия. Иначе видях днес и една по-късичка, която казва почти същото, но с малко повече оптимизъм (поне в контекста на Европа): https://t.co/7L9Bi5wHs1	no	nan	nan	nan	nan	yes	no
88	3266 са общо случаите на COVID-19, потвърдени у нас, според Националната информационна система https://t.co/L6N9YqhUpe	yes	no	yes	no	no	no	no
89	646 са вече излекуваните лица, при които е бил потвърден COVID-19 https://t.co/9meAL26pxg	yes	no	yes	no	no	no	no
90	ЕП подчертава, че дезинформацията за COVID-19 носи риск за общественото здраве: https://t.co/QaUMeVK3Y2 #ЕвропаСрещуCOVID19 https://t.co/jy5Ah2W7mZ	yes	no	yes	no	no	no	no
91	Ако не знаете как да правите секс по време на пандемия - Ню Йорк има няколко предложения за вас. Примерно 'glory hole'. https://t.co/76X5lgiT0j	no	nan	nan	nan	nan	no	no
92	#COVID19 Важно за организации и бенефициенти по програмите #ErasmusPlus #EUSolidarityCorps 👇 https://t.co/LEkRqYj1ZN	no	nan	nan	nan	nan	no	no
93	Най-голямо количество вируси в гърлен секрет на заразени с #Covid19 се открива към момента на поява на симптомите. На основата на това, авторите изчисляват, че около 44% от болните са се заразили от хора без изявени симптоми https://t.co/VL9Xa9d8ZG	yes	no	yes	no	no	no	no
94	Някой със счупена китка или палец, продавам много изгодно ортеза. Ползвана е 1 месец 😂 като нова, в оригиналната си опаковка 😁 Изпрана и дезинфекцирана против COVID-19 😂	no	nan	nan	nan	nan	no	no
95	Във време на криза да превърнеш панаирен център във временен лазарет с 880 легла - Община Виена го може: https://t.co/SVR079nfZ3 #coronavirus #COVID19 #Виена https://t.co/d5eaTNwdBd	yes	no	yes	no	no	no	no
96	Гледайте на живо сега специалната ни дискусия: COVID-19 и климатичните промени https://t.co/Vt8ZP2M0FM #movebg #editbg #poweredbymovebg #innovation #startup #bulgaria #climate #climatechange #bulgaria #green #circulareconomy #EUGreenDeal https://t.co/Ls0ZreZAjv	no	nan	nan	nan	nan	no	no
97	135 нови случая на COVID-19 са потвърдени в България през изминалото денонощие https://t.co/nCFDqEyOYf	yes	no	yes	no	no	no	no
98	Европейският съюз предприема множество мерки за борба с коронавируса - от забавяне на разпространението на пандемията и връщане на европейци у дома до инвестиции в търсенето на ваксина и подкрепа за запазване на работните места ↓ #ЕвропаСрещуCovid19 🇪🇺 https://t.co/8Zxxs8Lkzd	yes	no	yes	no	no	no	no
99	Икономическия ефект на пандемията #coronavirus в цифри. Пролетната #ECForecast очаква: ▪ 7.4 % свиване на икономиката на ЕС през 2020 г. ▪ Рецесия във всички държави ▪ Възстановяване с 6.1% ръст през 2021, което обаче зависи от множество фактори 👉 https://t.co/EM5Yv0TCkd https://t.co/ZjWNhd5wST	yes	no	yes	no	no	no	no
100	При чумата и при COVID-19: Флоренция връща традицията на "прозорчетата за вино" https://t.co/N5d3wJmOBY	no	nan	nan	nan	nan	no	no
101	📢 Кандидатствайте за наградата на @EU_EESC за гражданска солидарност във връзка с пандемията на #coronavirus. Търсят се най-впечатляващите проекти от всяка държава-членка. 🏆 Награда от 10 хил. евро Краен срок 3⃣0⃣ септември 👉 https://t.co/3THVuRWyEF	no	nan	nan	nan	nan	no	no
102	Светът като една човешка длан, светът, за който всеки от нас носи отговорност, показаха младши посланиците на ЕП от Професионална гимназия по компютърно програмиране и иновации, Бургас, чрез творчеството си. И призоваха да се пазим: https://t.co/nIjI5lVmZg #ЕвропаСрещуCOVID19	no	nan	nan	nan	nan	no	no
103	- @Emil_Radev: Важно е България да сложи край на дълговото робство особено след кризата с #COVID19 Ако бъде гласувано предложението, след изтичането на 10-год. давност, кредиторът няма да може да принудително да изисква погасяването на дадено задължение! https://t.co/xwgunDUSSa	yes	no	yes	no	no	no	no
104	Д-р Ли, който пръв вдигна тревога за новия коронавирус, почина от заболяването. #coronavirus #DrLiWenliang https://t.co/vtK8F28RRd	yes	no	yes	no	no	no	no
105	24 млн. млади хора получиха подкрепа от въвеждането на Гаранцията за младежта през 2013 г. ЕС иска да продължи да помага на младежите при намирането на работа, тъй като в кризи като настоящата проблемите пред тях нарастват многократно: https://t.co/dRVIFNUZME #ЕвропаСрещуCOVID19 https://t.co/O2XRi5SFQ0	yes	no	yes	no	no	no	no
106	#ЗащотоСмеХора е страхотна инициатива,в помощ на тези,които в тежките дни имат нужда от подкрепа.Видях много доброволци и #ХораСГолемиСърца @nikikunchev @IvaEkimova .И днес имах привилегията и възможността да участвам заедно с тях в нещо добро,което ме докосна. #Sofia🇧🇬#COVID19 https://t.co/6LTiUzGg5f	no	nan	nan	nan	nan	no	no
107	Хората на изкуството бяха силно засегнати от кризата с #COVID19. Прочетете как Парламентът иска да помогне ➡️ https://t.co/DYHlCpDt11 https://t.co/Gwx8y2c3Ym	no	nan	nan	nan	nan	no	no
108	Просто чудесно интервю за COVID 19. Много неща ще ви се изяснят, след като го прочетете. https://t.co/uWUumAYSwl	no	nan	nan	nan	nan	no	no
109	За 22 нови случая на COVID-19 съобщи Националният оперативен щаб https://t.co/4ZYiLbN7Hm	yes	no	yes	no	no	no	no
110	#ЕвропаСрещуCOVID19 В момента, в който светът започва да се организира онлайн, Елена решава да предложи безплатни онлайн уроци по йога за хората, затворени по домовете си заради ограничителните мерки. А наред с това събира дарения за италиански болници. https://t.co/pQYGM4nDog https://t.co/QW9vmRmINE	no	nan	nan	nan	nan	no	no
111	В 6:30 започва уебинар, организиран от @AEJBulgaria, с участието на @fmartino_obc, @mkpetkova и @GeorgievPeter И съм сигурен, че ще си струва. https://t.co/3odvVYK3Rz	no	nan	nan	nan	nan	no	no
112	Топла и ползотворна дискусия с външния министър @abdulla_shahid от #Малдивите. Съгласихме се, че пандемията #COVID19 сближи двете нации още повече. Ние ще бъдем надеждни партньори в посрещането както на стремежите, така и на предизвикателствата. https://t.co/xgEyI82Hs2	no	nan	nan	nan	nan	no	no
113	Аз ден на труда няма да празнувам.Този новия световен празник Covid 19 има повече почивни дни и ме кефи повече.	no	nan	nan	nan	nan	no	no
114	Статията е наистина интересна и с отлични симулации. https://t.co/jKin20Tfnb	no	nan	nan	nan	nan	no	no
115	@SashaBezuhanova ще домакинства разговора "THE BIG CHANGE: COVID-19 и климатичните промени". #movebg #editbg #poweredbymovebg #innovation #startup #green #zerowaste #bulgaria #webinar #transformation #society #EUGreenDeal #wwf #plana #greentech #waterquality #news #TechNews https://t.co/1OCcKmpllx	no	nan	nan	nan	nan	no	no
116	Още преди началото на пандемията Михаела организира виртуална класна стая, за да може учениците ѝ да наваксат с пропуснатия материал. Това им помага в работата, когато настъпва и кризата с COVID-19, а и в онлайн забавленията: https://t.co/OQyAOfSZnO #ЕвропаСрещуCOVID19	no	nan	nan	nan	nan	no	no
117	Европейските граждани трябва да бъдат в центъра на стратегия за възстановяване от кризата с #COVID19, заявиха депутатите в резолюция миналата седмица. Вижте какво очаква Парламентът от плана за излизане от кризата ↓ https://t.co/BIoWzWQkUN	no	nan	nan	nan	nan	no	no
118	#Сърбия обяви извънредно положение и ограничава достъпа до нейната територия за чужди граждани заради #covid19.	yes	no	yes	no	yes	no	no
119	След като толкова много хора разбраха какво е карантина, вече ще ми е по-лесно да обяснявам какво е ежедневието на един пианист/композитор: - Разкажи ни повече за творческия процес. - Помните ли карантината covid-19...	no	nan	nan	nan	nan	no	no
120	Два нови случая на COVID-19 показват резултатите от първите проби, излязли днес https://t.co/Dm6xipExO4	yes	no	yes	no	no	no	no
